Block,Light (u mol photons m/s/),NH4Cl (mg/L),Time (hours),Replicate,Pseudo-replicate,F,Fm,Y(II),Average Y (controls),StDev (controls),StDev / Average (%),Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
1,5,Control,24,1,1,0.01728,0.0364,0.525274725,0.530739587,0.007728482,1.46%,0.010296691,0
1,5,Control,24,1,2,0.0196,0.04226,0.536204449,NA,NA,NA,-0.010296691,NA
1,5,Control,48,1,1,0.0497,0.11656,0.573610158,0.577238914,0.005131837,0.89%,0.006286403,0
1,5,Control,48,1,2,0.04618,0.11018,0.580867671,NA,NA,NA,-0.006286403,NA
1,5,Control,72,1,1,0.0985,0.2304,0.572482639,0.574806428,0.003286334,0.57%,0.004042734,5.55E-17
1,5,Control,72,1,2,0.08794,0.20796,0.577130217,NA,NA,NA,-0.004042734,NA
1,5,267,0,1,1,0.01792,0.0402,0.554228856,NA,NA,NA,-0.054635312,-0.056455594
1,5,267,0,1,2,0.0185,0.04168,0.556142035,NA,NA,NA,-0.058275877,NA
1,5,267,0.3,1,1,0.0143,0.03,0.523333333,NA,NA,NA,0.044497636,0.045050909
1,5,267,0.3,1,2,0.0147,0.0308,0.522727273,NA,NA,NA,0.045604182,NA
1,5,267,2,1,1,0.0146,0.0311,0.530546624,NA,NA,NA,0.047546688,0.045045295
1,5,267,2,1,2,0.0161,0.0345,0.533333333,NA,NA,NA,0.042543903,NA
1,5,267,24,1,1,0.0337,0.08296,0.593780135,NA,NA,NA,-0.118778681,-0.115699442
1,5,267,24,1,2,0.03746,0.09148,0.590511587,NA,NA,NA,-0.112620203,NA
1,5,267,48,1,1,0.10268,0.24988,0.58908276,NA,NA,NA,-0.020518099,-0.022785249
1,5,267,48,1,2,0.0793,0.19422,0.591700134,NA,NA,NA,-0.025052399,NA
1,5,267,72,1,1,0.1758,0.3643,0.517430689,NA,NA,NA,0.099817497,0.094151789
1,5,267,72,1,2,0.1348,0.28316,0.52394406,NA,NA,NA,0.088486081,NA
1,5,26.7,0,1,1,0.0163,0.03392,0.519457547,NA,NA,NA,0.011530586,0.023905002
1,5,26.7,0,1,2,0.0153,0.031,0.506451613,NA,NA,NA,0.036279419,NA
1,5,26.7,0.3,1,1,0.0112,0.02244,0.500891266,NA,NA,NA,0.085472379,0.109782607
1,5,26.7,0.3,1,2,0.01246,0.0237,0.474261603,NA,NA,NA,0.134092835,NA
1,5,26.7,2,1,1,0.0118,0.0245,0.518367347,NA,NA,NA,0.069411293,0.067844446
1,5,26.7,2,1,2,0.0136,0.02834,0.520112915,NA,NA,NA,0.066277598,NA
1,5,26.7,24,1,1,0.02208,0.0512,0.56875,NA,NA,NA,-0.071617822,-0.085227176
1,5,26.7,24,1,2,0.0253,0.0607,0.583196046,NA,NA,NA,-0.09883653,NA
1,5,26.7,48,1,1,0.07608,0.12656,0.3988622,NA,NA,NA,0.309017134,0.293790052
1,5,26.7,48,1,2,0.06048,0.10364,0.416441528,NA,NA,NA,0.278562969,NA
1,5,26.7,72,1,1,0.10068,0.2498,0.596957566,NA,NA,NA,-0.038536691,-0.043002174
1,5,26.7,72,1,2,0.08068,0.20276,0.602091142,NA,NA,NA,-0.047467657,NA
1,5,2.67,0,1,1,0.01754,0.03648,0.519188596,NA,NA,NA,0.012042369,-0.003317084
1,5,2.67,0,1,2,0.01736,0.03736,0.535331906,NA,NA,NA,-0.018676537,NA
1,5,2.67,0.3,1,1,0.0138,0.0285,0.515789474,NA,NA,NA,0.05827122,0.059698304
1,5,2.67,0.3,1,2,0.014,0.02882,0.514226232,NA,NA,NA,0.061125389,NA
1,5,2.67,2,1,1,0.0113,0.0241,0.531120332,NA,NA,NA,0.04651675,0.052485814
1,5,2.67,2,1,2,0.01302,0.02738,0.524470416,NA,NA,NA,0.058454879,NA
1,5,2.67,24,1,1,0.02234,0.05322,0.580232995,NA,NA,NA,-0.093253658,-0.106137222
1,5,2.67,24,1,2,0.024,0.0591,0.593908629,NA,NA,NA,-0.119020785,NA
1,5,2.67,48,1,1,0.07334,0.18374,0.600849026,NA,NA,NA,-0.040901801,-0.044375915
1,5,2.67,48,1,2,0.06342,0.1605,0.604859813,NA,NA,NA,-0.047850029,NA
1,5,2.67,72,1,1,0.11548,0.28842,0.599611677,NA,NA,NA,-0.043154092,-0.046224185
1,5,2.67,72,1,2,0.094,0.23686,0.603141096,NA,NA,NA,-0.049294278,NA
1,5,0.267,0,1,1,0.0189,0.04,0.5275,NA,NA,NA,-0.003773299,0.025584172
1,5,0.267,0,1,2,0.015,0.0298,0.496644295,NA,NA,NA,0.054941644,NA
1,5,0.267,0.3,1,1,0.0152,0.0313,0.514376997,NA,NA,NA,0.060850122,0.07040887
1,5,0.267,0.3,1,2,0.0127,0.0256,0.50390625,NA,NA,NA,0.079967618,NA
1,5,0.267,2,1,1,0.0099,0.0214,0.537383178,NA,NA,NA,0.0352735,0.093762957
1,5,0.267,2,1,2,0.0114,0.0216,0.472222222,NA,NA,NA,0.152252414,NA
1,5,0.267,24,1,1,0.0199,0.0467,0.573875803,NA,NA,NA,-0.081275671,-0.08107304
1,5,0.267,24,1,2,0.0191,0.0448,0.573660714,NA,NA,NA,-0.080870409,NA
1,5,0.267,48,1,1,0.06266,0.15598,0.598281831,NA,NA,NA,-0.036454432,-0.042509068
1,5,0.267,48,1,2,0.04822,0.12216,0.605271775,NA,NA,NA,-0.048563705,NA
1,5,0.267,72,1,1,0.09804,0.23852,0.588965286,NA,NA,NA,-0.024632393,-0.035430699
1,5,0.267,72,1,2,0.07168,0.17982,0.601379157,NA,NA,NA,-0.046229004,NA
2,80,Control,0,1,1,0.01216,0.024,0.493333333,0.477124888,0.022922204,4.80%,-0.033971076,-5.55E-17
2,80,Control,0,1,2,0.012,0.02226,0.460916442,NA,NA,NA,0.033971076,NA
2,80,Control,0.3,1,1,0.01274,0.02786,0.542713568,0.522233977,0.028962515,5.55%,-0.039215355,5.55E-17
2,80,Control,0.3,1,2,0.0142,0.0285,0.501754386,NA,NA,NA,0.039215355,NA
2,80,Control,2,1,1,0.0178,0.0386,0.538860104,0.535817778,0.004302498,0.80%,-0.00567791,-5.55E-17
2,80,Control,2,1,2,0.0201,0.04302,0.532775453,NA,NA,NA,0.00567791,NA
2,80,Control,24,1,1,0.02876,0.0559,0.485509839,0.473960057,0.016333858,3.45%,-0.024368681,0
2,80,Control,24,1,2,0.02846,0.05294,0.462410276,NA,NA,NA,0.024368681,NA
2,80,Control,48,1,1,0.0441,0.0702,0.371794872,0.36489287,0.009760905,2.68%,-0.018915147,-5.55E-17
2,80,Control,48,1,2,0.04218,0.0657,0.357990868,NA,NA,NA,0.018915147,NA
2,80,Control,72,1,1,0.0888,0.15804,0.438116932,0.440989555,0.004062502,0.92%,0.006514037,-1.11E-16
2,80,Control,72,1,2,0.0849,0.15266,0.443862177,NA,NA,NA,-0.006514037,NA
2,80,26.7,0,1,1,0.0104,0.0206,0.495145631,NA,NA,NA,-0.037769447,-0.045599861
2,80,26.7,0,1,2,0.0095,0.0191,0.502617801,NA,NA,NA,-0.053430274,NA
2,80,26.7,0.3,1,1,0.0142,0.02852,0.502103787,NA,NA,NA,0.038546305,0.017582317
2,80,26.7,0.3,1,2,0.0119,0.025,0.524,NA,NA,NA,-0.00338167,NA
2,80,26.7,2,1,1,0.0185,0.03766,0.508762613,NA,NA,NA,0.050493221,0.021632031
2,80,26.7,2,1,2,0.0167,0.03628,0.53969129,NA,NA,NA,-0.007229158,NA
2,80,26.7,24,1,1,0.0387,0.06588,0.412568306,NA,NA,NA,0.129529378,0.135438202
2,80,26.7,24,1,2,0.02894,0.0488,0.406967213,NA,NA,NA,0.141347025,NA
2,80,26.7,48,1,1,0.04322,0.06696,0.354540024,NA,NA,NA,0.028372289,0.040169986
2,80,26.7,48,1,2,0.045,0.0688,0.345930233,NA,NA,NA,0.051967683,NA
2,80,26.7,72,1,1,0.10196,0.1704,0.401643192,NA,NA,NA,0.08922289,0.08737296
2,80,26.7,72,1,2,0.09038,0.15146,0.403274792,NA,NA,NA,0.08552303,NA
2,80,2.67,0,1,1,0.0099,0.0206,0.519417476,NA,NA,NA,-0.088640499,-0.075607566
2,80,2.67,0,1,2,0.0113,0.02292,0.506980803,NA,NA,NA,-0.062574634,NA
2,80,2.67,0.3,1,1,0.01718,0.03678,0.532898314,NA,NA,NA,-0.020420612,-0.031674011
2,80,2.67,0.3,1,2,0.01754,0.03852,0.544652129,NA,NA,NA,-0.04292741,NA
2,80,2.67,2,1,1,0.0196,0.0415,0.527710843,NA,NA,NA,0.015130023,-0.011122664
2,80,2.67,2,1,2,0.0171,0.0385,0.555844156,NA,NA,NA,-0.037375351,NA
