Block,Light (u mol photons m/s/),Diuron (ug/L),Time (hours),Replicate,Pseudo-replicate,F,Fm,Y(II),Average Y (controls),Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
1,20,MeOH,48,1,1,0.09246,0.1449,0.361904762,NA,-0.03,-0.03
1,20,MeOH,48,1,2,0.09738,0.15336,0.365023474,NA,-0.04,NA
1,20,MeOH,72,1,1,0.0999,0.16374,0.389886405,NA,0.02,0
1,20,MeOH,72,1,2,0.09588,0.1615,0.406315789,NA,-0.02,NA
1,20,3,0,1,1,0.0101,0.02292,0.559336824,NA,0,-0.01
1,20,3,0,1,2,0.0091,0.02128,0.572368421,NA,-0.02,NA
1,20,3,0.3,1,1,0.0199,0.02776,0.28314121,NA,0.48,0.5
1,20,3,0.3,1,2,0.0182,0.0246,0.260162602,NA,0.52,NA
1,20,3,2,1,1,0.0168,0.0236,0.288135593,NA,0.5,0.52
1,20,3,2,1,2,0.0166,0.02234,0.256938227,NA,0.55,NA
1,20,3,24,1,1,0.0595,0.08344,0.286912752,NA,0.41,0.41
1,20,3,24,1,2,0.0594,0.08334,0.287257019,NA,0.41,NA
1,20,3,48,1,1,0.1247,0.16266,0.23337022,NA,0.34,0.34
1,20,3,48,1,2,0.126,0.1642,0.232643118,NA,0.34,NA
1,20,3,72,1,1,0.13656,0.1806,0.243853821,NA,0.39,0.39
1,20,3,72,1,2,0.12914,0.1707,0.243468073,NA,0.39,NA
1,20,1,0,1,1,0.011,0.025,0.56,NA,0,-0.01
1,20,1,0,1,2,0.0109,0.0253,0.56916996,NA,-0.02,NA
1,20,1,0.3,1,1,0.01718,0.03128,0.450767263,NA,0.17,0.16
1,20,1,0.3,1,2,0.01728,0.0321,0.461682243,NA,0.15,NA
1,20,1,2,1,1,0.0145,0.02718,0.4665195,NA,0.18,0.17
1,20,1,2,1,2,0.0149,0.0286,0.479020979,NA,0.16,NA
1,20,1,24,1,1,0.0621,0.11568,0.463174274,NA,0.04,0.04
1,20,1,24,1,2,0.0663,0.12382,0.464545308,NA,0.04,NA
1,20,1,48,1,1,0.1234,0.17236,0.284056626,NA,0.19,0.18
1,20,1,48,1,2,0.12812,0.1802,0.289012209,NA,0.18,NA
1,20,1,72,1,1,0.13126,0.18754,0.30009598,NA,0.25,0.25
1,20,1,72,1,2,0.13384,0.19186,0.302408006,NA,0.24,NA
1,20,0.33,0,1,1,0.0118,0.0268,0.559701493,NA,0,0
1,20,0.33,0,1,2,0.0111,0.0253,0.561264822,NA,0,NA
1,20,0.33,0.3,1,1,0.0162,0.0339,0.522123894,NA,0.04,0.05
1,20,0.33,0.3,1,2,0.0153,0.0315,0.514285714,NA,0.06,NA
1,20,0.33,2,1,1,0.0133,0.0286,0.534965035,NA,0.07,0.06
1,20,0.33,2,1,2,0.0121,0.0263,0.539923954,NA,0.06,NA
1,20,0.33,24,1,1,0.0627,0.1155,0.457142857,NA,0.06,0.04
1,20,0.33,24,1,2,0.05248,0.09872,0.468395462,NA,0.03,NA
1,20,0.33,48,1,1,0.1145,0.1704,0.328051643,NA,0.07,0.05
1,20,0.33,48,1,2,0.09362,0.14228,0.342001687,NA,0.03,NA
1,20,0.33,72,1,1,0.12226,0.18302,0.331985575,NA,0.17,0.17
1,20,0.33,72,1,2,0.11646,0.1747,0.333371494,NA,0.17,NA
1,20,0.11,0,1,1,0.0127,0.0294,0.568027211,NA,-0.01,0
1,20,0.11,0,1,2,0.0095,0.0214,0.556074766,NA,0.01,NA
1,20,0.11,0.3,1,1,0.0168,0.0361,0.534626039,NA,0.02,0.01
1,20,0.11,0.3,1,2,0.01264,0.02766,0.543022415,NA,0,NA
1,20,0.11,2,1,1,0.0132,0.0299,0.558528428,NA,0.02,0.03
1,20,0.11,2,1,2,0.0099,0.02224,0.554856115,NA,0.03,NA
1,20,0.11,24,1,1,0.0611,0.13814,0.557695092,NA,-0.15,-0.16
1,20,0.11,24,1,2,0.0385,0.08842,0.56457815,NA,-0.17,NA
1,20,0.11,48,1,1,0.1109,0.17312,0.359403882,NA,-0.02,-0.03
1,20,0.11,48,1,2,0.09284,0.14636,0.365673681,NA,-0.04,NA
1,20,0.11,72,1,1,0.13716,0.21146,0.351366689,NA,0.12,0.1
1,20,0.11,72,1,2,0.11128,0.17678,0.370517027,NA,0.07,NA
1,5,Control,0,1,1,0.0106,0.0251,0.577689243,0.571913405,-0.01,0
1,5,Control,0,1,2,0.0082,0.0189,0.566137566,NA,0.01,NA
1,5,Control,0.3,1,1,0.0129,0.0296,0.564189189,0.558606426,-0.01,0
1,5,Control,0.3,1,2,0.0102,0.02282,0.553023663,NA,0.01,NA
1,5,Control,2,1,1,0.0106,0.027,0.607407407,0.605013747,0,0
1,5,Control,2,1,2,0.0091,0.0229,0.602620087,NA,0,NA
1,5,Control,24,1,1,0.0257,0.06178,0.58400777,0.575718897,-0.01,0
1,5,Control,24,1,2,0.0204,0.04716,0.567430025,NA,0.01,NA
1,5,Control,48,1,1,0.0543,0.13392,0.59453405,0.594700572,0,0
1,5,Control,48,1,2,0.0442,0.1091,0.594867094,NA,0,NA
1,5,Control,72,1,1,0.08558,0.20284,0.578091106,0.577783761,0,0
1,5,Control,72,1,2,0.07166,0.1696,0.577476415,NA,0,NA
1,5,MeOH,0,1,1,0.01,0.0245,0.591836735,NA,-0.03,-0.01
