Block,Light (u mol photons m/s/),Diuron (ug/L),Time (hours),Replicate,Pseudo-replicate,Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
2,20,1,0.3,1,1,0.164186698,0.153294109
2,20,1,0.3,1,2,0.142401521,
2,20,1,2,1,1,0.186184576,0.187198744
2,20,1,2,1,2,0.188212912,
2,20,1,24,1,1,0.146752351,0.143763222
2,20,1,24,1,2,0.140774092,
2,20,1,48,1,1,0.183299586,0.1778349
2,20,1,48,1,2,0.172370214,
2,20,1,72,1,1,0.117228654,0.105203543
2,20,1,72,1,2,0.093178433,
2,20,0.33,0,1,1,0.01209701,0.005721277
2,20,0.33,0,1,2,-0.000654455,
2,20,0.33,0.3,1,1,0.072957494,0.064888647
2,20,0.33,0.3,1,2,0.056819799,
2,20,0.33,2,1,1,0.089596216,0.080018296
2,20,0.33,2,1,2,0.070440376,
2,20,0.33,24,1,1,0.107015327,0.111540568
2,20,0.33,24,1,2,0.116065809,
2,20,0.33,48,1,1,0.052518168,0.063567064
2,20,0.33,48,1,2,0.07461596,
2,20,0.33,72,1,1,0.00152871,-0.005544288
2,20,0.33,72,1,2,-0.012617287,
2,20,0.11,0,1,1,-0.062269872,-0.000112062
2,20,0.11,0,1,2,0.062045747,
2,20,0.11,0.3,1,1,0.016673926,0.051037472
2,20,0.11,0.3,1,2,0.085401018,
2,20,0.11,2,1,1,0.058927174,0.048077567
2,20,0.11,2,1,2,0.03722796,
2,20,0.11,24,1,1,0.121301139,0.131326188
2,20,0.11,24,1,2,0.141351237,
2,20,0.11,48,1,1,0.024044651,0.035768624
2,20,0.11,48,1,2,0.047492598,
2,20,0.11,72,1,1,0.007146393,0.00944861
2,20,0.11,72,1,2,0.011750827,
2,5,Control,0,1,1,-0.00742763,0
2,5,Control,0,1,2,0.00742763,
2,5,Control,0.3,1,1,-0.018179421,1.67E-16
2,5,Control,0.3,1,2,0.018179421,
2,5,Control,2,1,1,-0.005933199,-5.55E-17
2,5,Control,2,1,2,0.005933199,
2,5,Control,24,1,1,-0.022331086,0
2,5,Control,24,1,2,0.022331086,
2,5,Control,48,1,1,-0.020333904,1.11E-16
2,5,Control,48,1,2,0.020333904,
2,5,Control,72,1,1,-0.009945892,1.67E-16
2,5,Control,72,1,2,0.009945892,
2,5,MeOH,0,1,1,-0.058756934,-0.034388843
2,5,MeOH,0,1,2,-0.010020751,
2,5,MeOH,0.3,1,1,-0.018179421,-0.014336136
2,5,MeOH,0.3,1,2,-0.01049285,
2,5,MeOH,2,1,1,-0.002748607,-0.000637063
2,5,MeOH,2,1,2,0.001474481,
2,5,MeOH,24,1,1,-0.029855093,-0.027313543
2,5,MeOH,24,1,2,-0.024771992,
2,5,MeOH,48,1,1,-0.034715647,-0.039435366
2,5,MeOH,48,1,2,-0.044155085,
2,5,MeOH,72,1,1,0.014358781,0.012340044
2,5,MeOH,72,1,2,0.010321307,
2,5,3,0,1,1,0.05409055,0.065845938
2,5,3,0,1,2,0.077601327,
2,5,3,0.3,1,1,0.464481838,0.419731468
2,5,3,0.3,1,2,0.374981098,
2,5,3,2,1,1,0.421251746,0.429266179
2,5,3,2,1,2,0.437280612,
2,5,3,24,1,1,0.333917037,0.315384469
2,5,3,24,1,2,0.296851901,
2,5,3,48,1,1,0.240085848,0.220098113
2,5,3,48,1,2,0.200110377,
2,5,3,72,1,1,0.229538828,0.221578986
2,5,3,72,1,2,0.213619144,
2,5,1,0,1,1,0.060598586,0.077031581
2,5,1,0,1,2,0.093464576,
2,5,1,0.3,1,1,0.223530453,0.219332412
2,5,1,0.3,1,2,0.215134372,
2,5,1,2,1,1,0.15698126,0.148806533
2,5,1,2,1,2,0.140631805,
2,5,1,24,1,1,0.066823296,0.062318305
2,5,1,24,1,2,0.057813314,
2,5,1,48,1,1,0.030921447,0.02642283
2,5,1,48,1,2,0.021924213,
2,5,1,72,1,1,0.062443187,0.063283533
2,5,1,72,1,2,0.06412388,
2,5,0.33,0,1,1,0.060773979,0.094460748
2,5,0.33,0,1,2,0.128147517,
2,5,0.33,0.3,1,1,0.111004238,0.144005345
2,5,0.33,0.3,1,2,0.177006451,
2,5,0.33,2,1,1,0.052533438,0.055909763
2,5,0.33,2,1,2,0.059286088,
2,5,0.33,24,1,1,-0.028012319,-0.028838027
2,5,0.33,24,1,2,-0.029663734,
2,5,0.33,48,1,1,-0.061896938,-0.068901517
2,5,0.33,48,1,2,-0.075906095,
2,5,0.33,72,1,1,-0.019795071,-0.020824261
2,5,0.33,72,1,2,-0.021853452,
2,5,0.11,0,1,1,0.028656844,0.087063546
2,5,0.11,0,1,2,0.145470249,
2,5,0.11,0.3,1,1,0.038849328,0.080349622
2,5,0.11,0.3,1,2,0.121849917,
2,5,0.11,2,1,1,-0.003864839,0.003204632
2,5,0.11,2,1,2,0.010274102,
2,5,0.11,24,1,1,-0.059240346,-0.059321124
2,5,0.11,24,1,2,-0.059401902,
2,5,0.11,48,1,1,-0.087139382,-0.084671304
2,5,0.11,48,1,2,-0.082203226,
2,5,0.11,72,1,1,-0.053173458,-0.053172858
2,5,0.11,72,1,2,-0.053172258,
3,80,Control,0,1,1,-0.02018252,-5.55E-17
3,80,Control,0,1,2,0.02018252,
3,80,Control,0.3,1,1,-0.040516821,-5.55E-17
3,80,Control,0.3,1,2,0.040516821,
3,80,Control,2,1,1,-0.012210828,1.67E-16
3,80,Control,2,1,2,0.012210828,
3,80,Control,24,1,1,-0.022187244,5.55E-17
3,80,Control,24,1,2,0.022187244,
3,80,Control,48,1,1,-0.002716065,-5.55E-17
3,80,Control,48,1,2,0.002716065,
3,80,Control,72,1,1,0.000243582,0
3,80,Control,72,1,2,-0.000243582,
3,80,MeOH,0,1,1,-0.01716392,0.014929891
3,80,MeOH,0,1,2,0.047023703,
3,80,MeOH,0.3,1,1,-0.000850475,0.023459453
3,80,MeOH,0.3,1,2,0.047769382,
3,80,MeOH,2,1,1,0.010621919,0.023810256
3,80,MeOH,2,1,2,0.036998594,
3,80,MeOH,24,1,1,0.038456928,0.056875515
3,80,MeOH,24,1,2,0.075294103,
3,80,MeOH,48,1,1,0.012602502,0.015547293
3,80,MeOH,48,1,2,0.018492083,
3,80,MeOH,72,1,1,0.012334955,0.012891107
3,80,MeOH,72,1,2,0.013447259,
3,80,3,0,1,1,0.000999721,-0.003343758
3,80,3,0,1,2,-0.007687238,
3,80,3,0.3,1,1,0.56429581,0.505578901
3,80,3,0.3,1,2,0.446861993,
3,80,3,2,1,1,0.588256878,0.576819569
3,80,3,2,1,2,0.56538226,
3,80,3,24,1,1,0.30294507,0.289472684
3,80,3,24,1,2,0.276000298,
3,80,3,48,1,1,0.357973595,0.350342751
3,80,3,48,1,2,0.342711907,
3,80,3,72,1,1,0.382263842,0.373952167
3,80,3,72,1,2,0.365640492,
3,80,1,0,1,1,-0.021935074,-0.025115774
3,80,1,0,1,2,-0.028296475,
3,80,1,0.3,1,1,0.225635564,0.207547131
3,80,1,0.3,1,2,0.189458697,
3,80,1,2,1,1,0.318625314,0.28481211
3,80,1,2,1,2,0.250998906,
3,80,1,24,1,1,0.136612141,0.127204817
3,80,1,24,1,2,0.117797493,
3,80,1,48,1,1,0.226388606,0.231469519
3,80,1,48,1,2,0.236550432,
3,80,1,72,1,1,0.228758524,0.234629909
3,80,1,72,1,2,0.240501293,
3,80,0.33,0,1,1,-0.008638129,-0.014648805
3,80,0.33,0,1,2,-0.020659481,
3,80,0.33,0.3,1,1,0.072169048,0.066794328
3,80,0.33,0.3,1,2,0.061419608,
3,80,0.33,2,1,1,0.114055183,0.10280424
3,80,0.33,2,1,2,0.091553298,
3,80,0.33,24,1,1,0.019791571,0.023213869
3,80,0.33,24,1,2,0.026636168,
3,80,0.33,48,1,1,0.013540791,0.014431415
3,80,0.33,48,1,2,0.015322038,
3,80,0.33,72,1,1,0.122772286,0.126254291
3,80,0.33,72,1,2,0.129736296,
3,80,0.11,0,1,1,0.049090851,0.013449747
3,80,0.11,0,1,2,-0.022191357,
3,80,0.11,0.3,1,1,0.043748254,0.028401354
3,80,0.11,0.3,1,2,0.013054455,
3,80,0.11,2,1,1,0.07927312,0.05118019
3,80,0.11,2,1,2,0.02308726,
3,80,0.11,24,1,1,-0.000127588,0.001805946
3,80,0.11,24,1,2,0.00373948,
3,80,0.11,48,1,1,0.077500454,0.088117932
3,80,0.11,48,1,2,0.09873541,
3,80,0.11,72,1,1,0.069612088,0.072976176
3,80,0.11,72,1,2,0.076340265,
3,20,Control,0,1,1,-0.01458282,0
3,20,Control,0,1,2,0.01458282,
3,20,Control,0.3,1,1,-0.010129564,5.55E-17
3,20,Control,0.3,1,2,0.010129564,
3,20,Control,2,1,1,-0.010927141,0
3,20,Control,2,1,2,0.010927141,
3,20,Control,24,1,1,0.002070766,-5.55E-17
3,20,Control,24,1,2,-0.002070766,
3,20,Control,48,1,1,-0.000177213,5.55E-17
3,20,Control,48,1,2,0.000177213,
3,20,Control,72,1,1,-0.003112452,0
3,20,Control,72,1,2,0.003112452,
3,20,MeOH,0,1,1,0.038851331,0.032155982
3,20,MeOH,0,1,2,0.025460633,
3,20,MeOH,0.3,1,1,0.023409894,0.029923615
3,20,MeOH,0.3,1,2,0.036437336,
3,20,MeOH,2,1,1,0.049254342,0.036068016
3,20,MeOH,2,1,2,0.022881689,
3,20,MeOH,24,1,1,-0.12666347,-0.127083006
3,20,MeOH,24,1,2,-0.127502542,
3,20,MeOH,48,1,1,0.035825021,0.03262058
3,20,MeOH,48,1,2,0.02941614,
3,20,MeOH,72,1,1,0.053197448,0.050922583
3,20,MeOH,72,1,2,0.048647719,
3,20,3,0,1,1,0.013906604,0.008324943
3,20,3,0,1,2,0.002743282,
3,20,3,0.3,1,1,0.56004367,0.559640558
3,20,3,0.3,1,2,0.559237447,
3,20,3,2,1,1,0.584814976,0.596207337
3,20,3,2,1,2,0.607599698,
3,20,3,24,1,1,0.31236194,0.288696514
3,20,3,24,1,2,0.265031088,
3,20,3,48,1,1,0.355759896,0.346575154
3,20,3,48,1,2,0.337390413,
3,20,3,72,1,1,0.38174296,0.368437154
3,20,3,72,1,2,0.355131348,
3,20,1,0,1,1,0.043748904,0.026731059
3,20,1,0,1,2,0.009713215,
3,20,1,0.3,1,1,0.248000383,0.254495353
3,20,1,0.3,1,2,0.260990322,
3,20,1,2,1,1,0.255935194,0.270581027
3,20,1,2,1,2,0.285226861,
3,20,1,24,1,1,0.032731727,0.032037149
3,20,1,24,1,2,0.03134257,
3,20,1,48,1,1,0.20233794,0.198705566
3,20,1,48,1,2,0.195073193,
3,20,1,72,1,1,0.14461369,0.136564437
3,20,1,72,1,2,0.128515184,
3,20,0.33,0,1,1,0.022508611,0.014500489
3,20,0.33,0,1,2,0.006492367,
3,20,0.33,0.3,1,1,0.086407289,0.087093764
3,20,0.33,0.3,1,2,0.08778024,
3,20,0.33,2,1,1,0.098883053,0.105148552
3,20,0.33,2,1,2,0.111414051,
3,20,0.33,24,1,1,0.063015864,0.056089308
3,20,0.33,24,1,2,0.049162751,
3,20,0.33,48,1,1,-0.126347295,-0.131353552
3,20,0.33,48,1,2,-0.136359809,
3,20,0.33,72,1,1,0.100515469,0.090096875
3,20,0.33,72,1,2,0.07967828,
3,20,0.11,0,1,1,0.032345726,0.048961675
3,20,0.11,0,1,2,0.065577623,
3,20,0.11,0.3,1,1,0.037581364,0.045908983
3,20,0.11,0.3,1,2,0.054236602,
3,20,0.11,2,1,1,0.046798693,0.048775305
3,20,0.11,2,1,2,0.050751917,
3,20,0.11,24,1,1,-0.291525316,-0.28450202
3,20,0.11,24,1,2,-0.277478725,
3,20,0.11,48,1,1,0.054276447,0.065106424
3,20,0.11,48,1,2,0.075936401,
3,20,0.11,72,1,1,0.111334948,0.110085497
3,20,0.11,72,1,2,0.108836047,
3,5,Control,0,1,1,-0.001559522,-5.55E-17
3,5,Control,0,1,2,0.001559522,
3,5,Control,0.3,1,1,0.010668021,0
3,5,Control,0.3,1,2,-0.010668021,
3,5,Control,2,1,1,-0.003363212,0
3,5,Control,2,1,2,0.003363212,
3,5,Control,24,1,1,-0.021811138,-1.11E-16
3,5,Control,24,1,2,0.021811138,
3,5,Control,48,1,1,-0.007110477,5.55E-17
3,5,Control,48,1,2,0.007110477,
