,hours,Light,DIN,Replicate,Absorbance
1,-72,80,AlgaeControl,Rep 1,0.0437
2,-72,80,AlgaeControl,Rep 2,0.0419
3,-72,80,AlgaeControl,AVERAGE,0.0428
4,-72,80,AlgaeControl,Rep 1,NA
5,-72,80,AlgaeControl,Rep 2,NA
6,-72,80,AlgaeControl,AVERAGE,NA
7,-72,80,26.7,Rep 1,NA
8,-72,80,26.7,Rep 2,NA
9,-72,80,26.7,AVERAGE,NA
10,-72,80,2.67,Rep 1,NA
11,-72,80,2.67,Rep 2,NA
12,-72,80,2.67,AVERAGE,NA
13,-72,80,0.267,Rep 1,NA
14,-72,80,0.267,Rep 2,NA
15,-72,80,0.267,AVERAGE,NA
16,-72,80,0.0267,Rep 1,NA
17,-72,80,0.0267,Rep 2,NA
18,-72,80,0.0267,AVERAGE,NA
19,-72,20,AlgaeControl,Rep 1,0.0434
20,-72,20,AlgaeControl,Rep 2,0.043
21,-72,20,AlgaeControl,AVERAGE,0.0432
22,-72,20,AlgaeControl,Rep 1,NA
23,-72,20,AlgaeControl,Rep 2,NA
24,-72,20,AlgaeControl,AVERAGE,NA
25,-72,20,26.7,Rep 1,NA
26,-72,20,26.7,Rep 2,NA
27,-72,20,26.7,AVERAGE,NA
28,-72,20,2.67,Rep 1,NA
29,-72,20,2.67,Rep 2,NA
30,-72,20,2.67,AVERAGE,NA
31,-72,20,0.267,Rep 1,NA
32,-72,20,0.267,Rep 2,NA
33,-72,20,0.267,AVERAGE,NA
34,-72,20,0.0267,Rep 1,NA
35,-72,20,0.0267,Rep 2,NA
36,-72,20,0.0267,AVERAGE,NA
37,-72,5,AlgaeControl,Rep 1,NA
38,-72,5,AlgaeControl,Rep 2,NA
39,-72,5,AlgaeControl,AVERAGE,NA
40,-72,5,AlgaeControl,Rep 1,NA
41,-72,5,AlgaeControl,Rep 2,NA
42,-72,5,AlgaeControl,AVERAGE,NA
43,-72,5,26.7,Rep 1,NA
44,-72,5,26.7,Rep 2,NA
45,-72,5,26.7,AVERAGE,NA
46,-72,5,2.67,Rep 1,NA
47,-72,5,2.67,Rep 2,NA
48,-72,5,2.67,AVERAGE,NA
49,-72,5,0.267,Rep 1,NA
50,-72,5,0.267,Rep 2,NA
51,-72,5,0.267,AVERAGE,NA
52,-72,5,0.0267,Rep 1,NA
53,-72,5,0.0267,Rep 2,NA
54,-72,5,0.0267,AVERAGE,NA
55,-72,Blank,Blank,REP1,0.0434
56,-72,Blank,Blank,REP2,0.0439
57,-72,Blank,Blank,AVERAGE,0.04365
58,-48,80,AlgaeControl,Rep 1,0.0435
59,-48,80,AlgaeControl,Rep 2,0.0429
60,-48,80,AlgaeControl,AVERAGE,0.0432
61,-48,80,AlgaeControl,Rep 1,NA
62,-48,80,AlgaeControl,Rep 2,NA
63,-48,80,AlgaeControl,AVERAGE,NA
64,-48,80,26.7,Rep 1,NA
65,-48,80,26.7,Rep 2,NA
66,-48,80,26.7,AVERAGE,NA
67,-48,80,2.67,Rep 1,NA
