,hours,Light,Diuron,Replicate,Absorbance
200,0,20,1,Rep 2,0.052
201,0,20,1,AVERAGE,0.0529
202,0,20,0.33,Rep 1,0.0495
203,0,20,0.33,Rep 2,0.05
204,0,20,0.33,AVERAGE,0.04975
205,0,20,0.11,Rep 1,0.0501
206,0,20,0.11,Rep 2,0.0493
207,0,20,0.11,AVERAGE,0.0497
208,0,5,AlgaeControl,Rep 1,0.0533
209,0,5,AlgaeControl,Rep 2,0.0533
210,0,5,AlgaeControl,AVERAGE,0.0533
211,0,5,MeOHControl,Rep 1,0.0576
212,0,5,MeOHControl,Rep 2,0.0562
213,0,5,MeOH,AVERAGE,0.0569
214,0,5,3,Rep 1,0.056
215,0,5,3,Rep 2,0.0595
216,0,5,3,AVERAGE,0.05775
217,0,5,1,Rep 1,0.0559
218,0,5,1,Rep 2,0.0513
219,0,5,1,AVERAGE,0.0536
220,0,5,0.33,Rep 1,0.0502
221,0,5,0.33,Rep 2,0.0493
222,0,5,0.33,AVERAGE,0.04975
223,0,5,0.11,Rep 1,0.0478
224,0,5,0.11,Rep 2,0.0501
225,0,5,0.11,AVERAGE,0.04895
226,0,Blank,Blank,Rep 1,0.044
227,0,Blank,Blank,Rep 2,0.0415
228,0,Blank,Blank,AVERAGE,0.04275
229,0.3,80,AlgaeControl,Rep 1,0.0511
230,0.3,80,AlgaeControl,Rep 2,0.0518
231,0.3,80,AlgaeControl,AVERAGE,0.05145
232,0.3,80,MeOHControl,Rep 1,0.0482
233,0.3,80,MeOHControl,Rep 2,0.0508
234,0.3,80,MeOH,AVERAGE,0.0495
235,0.3,80,3,Rep 1,0.053
236,0.3,80,3,Rep 2,0.0536
237,0.3,80,3,AVERAGE,0.0533
238,0.3,80,1,Rep 1,0.0507
239,0.3,80,1,Rep 2,0.0494
240,0.3,80,1,AVERAGE,0.05005
241,0.3,80,0.33,Rep 1,0.0492
242,0.3,80,0.33,Rep 2,0.0483
243,0.3,80,0.33,AVERAGE,0.04875
244,0.3,80,0.11,Rep 1,0.0479
245,0.3,80,0.11,Rep 2,0.0487
246,0.3,80,0.11,AVERAGE,0.0483
247,0.3,20,AlgaeControl,Rep 1,0.0489
248,0.3,20,AlgaeControl,Rep 2,0.0499
249,0.3,20,AlgaeControl,AVERAGE,0.0494
250,0.3,20,MeOHControl,Rep 1,0.0505
251,0.3,20,MeOHControl,Rep 2,0.0546
252,0.3,20,MeOH,AVERAGE,0.05255
253,0.3,20,3,Rep 1,0.0501
254,0.3,20,3,Rep 2,0.0523
255,0.3,20,3,AVERAGE,0.0512
256,0.3,20,1,Rep 1,0.0506
257,0.3,20,1,Rep 2,0.0521
258,0.3,20,1,AVERAGE,0.05135
259,0.3,20,0.33,Rep 1,0.0492
260,0.3,20,0.33,Rep 2,0.0495
261,0.3,20,0.33,AVERAGE,0.04935
262,0.3,20,0.11,Rep 1,0.0489
263,0.3,20,0.11,Rep 2,0.0489
264,0.3,20,0.11,AVERAGE,0.0489
265,0.3,5,AlgaeControl,Rep 1,0.0517
266,0.3,5,AlgaeControl,Rep 2,0.0528
267,0.3,5,AlgaeControl,AVERAGE,0.05225
268,0.3,5,MeOHControl,Rep 1,0.0574
269,0.3,5,MeOHControl,Rep 2,0.0564
270,0.3,5,MeOH,AVERAGE,0.0569
271,0.3,5,3,Rep 1,0.0521
272,0.3,5,3,Rep 2,0.0502
273,0.3,5,3,AVERAGE,0.05115
274,0.3,5,1,Rep 1,0.0539
275,0.3,5,1,Rep 2,0.0503
276,0.3,5,1,AVERAGE,0.0521
277,0.3,5,0.33,Rep 1,0.0498
278,0.3,5,0.33,Rep 2,0.0495
279,0.3,5,0.33,AVERAGE,0.04965
280,0.3,5,0.11,Rep 1,0.0483
281,0.3,5,0.11,Rep 2,0.05
282,0.3,5,0.11,AVERAGE,0.04915
283,0.3,Blank,Blank,Rep 1,0.0424
284,0.3,Blank,Blank,Rep 2,0.0413
285,0.3,Blank,Blank,AVERAGE,0.04185
286,2,80,AlgaeControl,Rep 1,0.0521
287,2,80,AlgaeControl,Rep 2,0.0527
288,2,80,AlgaeControl,AVERAGE,0.0524
289,2,80,MeOHControl,Rep 1,0.0527
290,2,80,MeOHControl,Rep 2,0.0575
291,2,80,MeOH,AVERAGE,0.0551
292,2,80,3,Rep 1,0.0529
293,2,80,3,Rep 2,0.056
294,2,80,3,AVERAGE,0.05445
295,2,80,1,Rep 1,0.0547
296,2,80,1,Rep 2,0.0515
297,2,80,1,AVERAGE,0.0531
298,2,80,0.33,Rep 1,0.0528
299,2,80,0.33,Rep 2,0.0514
300,2,80,0.33,AVERAGE,0.0521
301,2,80,0.11,Rep 1,0.05
302,2,80,0.11,Rep 2,0.0498
303,2,80,0.11,AVERAGE,0.0499
304,2,20,AlgaeControl,Rep 1,0.0523
305,2,20,AlgaeControl,Rep 2,0.0533
306,2,20,AlgaeControl,AVERAGE,0.0528
307,2,20,MeOHControl,Rep 1,0.0538
308,2,20,MeOHControl,Rep 2,0.0539
309,2,20,MeOH,AVERAGE,0.05385
310,2,20,3,Rep 1,0.0539
311,2,20,3,Rep 2,0.0566
312,2,20,3,AVERAGE,0.05525
313,2,20,1,Rep 1,0.0534
314,2,20,1,Rep 2,0.0516
315,2,20,1,AVERAGE,0.0525
316,2,20,0.33,Rep 1,0.0511
317,2,20,0.33,Rep 2,0.0519
318,2,20,0.33,AVERAGE,0.0515
319,2,20,0.11,Rep 1,0.0507
320,2,20,0.11,Rep 2,0.0533
321,2,20,0.11,AVERAGE,0.052
322,2,5,AlgaeControl,Rep 1,0.054
323,2,5,AlgaeControl,Rep 2,0.0519
324,2,5,AlgaeControl,AVERAGE,0.05295
325,2,5,MeOHControl,Rep 1,0.0567
326,2,5,MeOHControl,Rep 2,0.056
327,2,5,MeOH,AVERAGE,0.05635
328,2,5,3,Rep 1,0.052
329,2,5,3,Rep 2,0.0501
